Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Unemployment Rate change?
1/2/2009,59.189999,5313900,0.134,0,0,0,0
1/5/2009,58.5,3768800,0.134,-0.0211,0.05274,0.01077,
1/6/2009,59.189999,4966200,0.134,-0.0018,0.09168,0.0107,0
1/7/2009,58.07,4598100,0.134,-0.0283,-0.0355,0.01103,0
1/8/2009,58.580002,3944900,0.134,0.00721,-0.0018,0.01098,0
1/9/2009,57.740002,3661000,0.134,-0.0233,-0.0378,0.01122,0
1/12/2009,57.080002,4182500,0.134,-0.0264,-0.0692,0.0115,0
1/13/2009,56.25,4430100,0.134,0,-0.0321,0.01148,0
1/14/2009,55.040001,4520800,0.134,-0.0308,-0.0467,0.01185,0
1/15/2009,55.169998,4777400,0.134,0.01621,0.04679,1.19E-02,0
1/16/2009,56.419998,5621900,0.134,0.00498,0.00832,0.01176,0
1/20/2009,53.919998,5683600,0.134,-0.0635,-0.0588,0.01241,0
1/21/2009,54.240002,5892800,0.134,0.03565,0.04272,0.0119,0
1/22/2009,54.060001,4788900,0.134,-0.0327,-0.0021,0.01208,0
1/23/2009,52.900002,5684800,0.134,-0.0081,0.05263,0.01203,0
1/26/2009,53.560001,5185200,0.134,-0.011,-0.005,0.01195,0
1/27/2009,53.990002,4722700,0.134,-0.0761,0.00402,0.01183,0
1/28/2009,55.419998,6105400,0.134,0.00778,0.08809,0.01144,0
1/29/2009,56.549999,8154300,0.134,-0.0247,-0.0359,0.01183,0
1/30/2009,53.790001,7620300,0.134,-0.0415,-0.0353,0.01207,0
2/2/2009,50.619999,9052900,0.134,-0.0066,0.01385,0.01211,
2/3/2009,51.639999,7715700,0.134,0.01163,0.00683,0.01194,
2/4/2009,50.84,4722400,0.134,-0.009,0.04167,0.012,
2/5/2009,51.549999,5291000,0.134,0.00539,0.02047,0.01182,
2/6/2009,52.389999,5305900,0.134,0.02102,0.06928,0.0115,
2/9/2009,54.110001,7146900,0.134,-0.002,0.01535,0.01148,
2/10/2009,51.080002,6909600,0.134,-0.0558,-0.0613,0.01203,
2/11/2009,51.290001,5847600,0.134,0.00985,-0.0009,0.01196,
2/12/2009,49.970001,8495400,0.134,-0.0144,0.01701,1.20E-02,
2/13/2009,49.419998,4810600,0.134,-0.0207,0.01761,0.01208,
2/17/2009,47.419998,8653800,0.134,-0.0624,-0.0666,0.01262,
2/18/2009,47.139999,4963800,0.134,0.00141,-0.0037,0.01265,
2/19/2009,47.07,5554600,0.134,-0.0042,-0.053,0.01279,
2/20/2009,47.25,8729300,0.134,-0.0085,-0.0363,0.01292,
2/23/2009,45.41,6776500,0.134,-0.0441,-0.0357,0.0134,
2/24/2009,47.400002,8260400,0.134,0.03968,0.07188,0.01291,
2/25/2009,46.610001,8566600,0.134,-0.0272,0.02663,0.01301,
2/26/2009,46.330002,6426200,0.134,0.00147,0.00576,0.01322,
2/27/2009,45.459999,6911300,0.134,-0.0132,0.00764,0.01353,
3/2/2009,42.84,8116600,0.134,-0.0705,-0.1033,0.01416,
3/3/2009,43.119999,9081400,0.134,-0.0278,0.0296,0.01427,
3/4/2009,44.82,9040400,0.134,0.04503,0.07598,0.01394,
3/5/2009,42.509998,8217600,0.134,-0.0673,-0.0372,0.01453,
3/6/2009,41.830002,9174100,0.134,-0.0197,0.00496,0.01451,
3/9/2009,42.07,7150100,0.134,-0.008,-0.0148,0.01468,
3/10/2009,45.490002,10699800,0.134,0.08227,0.12112,0.01386,
3/11/2009,46.799999,8235400,0.134,-0.0054,0.01696,0.01377,
3/12/2009,48,6201500,0.134,0.03821,0.04039,0.01325,
3/13/2009,48,5058300,0.134,-0.0021,-0.0118,0.01314,
3/16/2009,47.470001,5167300,0.134,0.02961,-0.029,0.01318,
3/17/2009,48.759998,4977600,0.134,0.03532,0.09147,0.01279,
3/18/2009,49.200001,6244100,0.134,0.0463,0.00725,0.01251,
3/19/2009,47.470001,6993700,0.134,0.00652,0.0352,0.01267,
3/20/2009,45.93,8475400,0.134,-0.0213,-0.0394,0.01304,
3/23/2009,49.32,7438500,0.134,0.087,0.04425,0.01216,
3/24/2009,48.299999,4964700,0.134,-0.0165,0.01464,0.01241,
3/25/2009,49.02,7846700,0.134,0.01504,0.02658,0.01228,
3/26/2009,51.029999,7299000,0.134,0.04575,0.05251,0.01203,
3/27/2009,50.330002,4684300,0.134,-0.0337,-0.0471,0.01225,
3/30/2009,48.650002,4797300,0.134,-0.0496,-0.0509,0.01269,
3/31/2009,49.720001,7183100,0.134,0.01361,0.03108,0.01258,
4/1/2009,50.650002,5773100,0.134,0.01835,0.06631,0.01234,
4/2/2009,52.130001,6961000,0.134,0.07253,0.07703,0.01199,
4/3/2009,52.110001,4931100,0.134,0.01148,0.04724,0.01187,
4/6/2009,52.080002,3885300,0.134,-0.0122,-0.015,0.01196,
4/7/2009,50.799999,4060600,0.134,-0.018,-0.0814,0.01225,
4/8/2009,51.380001,4089300,0.134,0.03216,0.03324,0.01212,
4/9/2009,53.130001,5753900,0.134,0.0607,0.01206,0.01165,
4/13/2009,53.349998,4586200,0.134,-0.0103,-0.0205,0.01165,
4/14/2009,52.939999,4634300,0.134,-0.0208,-0.0135,0.01186,
4/15/2009,53.73,4527800,0.134,0.06535,0.00754,0.01173,
4/16/2009,54.759998,5735600,0.134,0.0133,0.02449,0.01156,
4/17/2009,53.810001,6641000,0.134,0.01532,0.01394,0.01148,
4/20/2009,51.970001,4697100,0.134,-0.0377,-0.0445,0.01199,
4/21/2009,53.290001,5059100,0.134,0.04031,0.03358,0.01176,
4/22/2009,53.060001,5893700,0.134,0.01722,-0.0219,0.01183,
4/23/2009,54.209999,6210900,0.134,0.01093,0.02508,0.01171,
4/24/2009,57,11541000,0.134,0.03838,0.01389,0.01154,
4/27/2009,57.349998,7436400,0.134,-0.0104,0.03327,0.01165,
4/28/2009,56.549999,4552700,0.134,-0.0482,-0.0726,0.01169,
4/29/2009,57.52,4622100,0.134,0.01284,0.01089,0.01144,
4/30/2009,57.599998,5355800,0.134,0.01233,-0.0155,0.01144,
5/1/2009,57.880001,4083200,0.134,-0.009,-0.0226,0.01138,
5/4/2009,58.48,4520100,0.134,-0.0021,0.04269,0.011,
5/5/2009,58.43,4302400,0.134,-0.006,0.02685,0.01104,
5/6/2009,59.139999,5067100,0.134,0.00354,0.0268,0.01085,
5/7/2009,58.77,5627600,0.134,-0.0261,-0.0668,0.01101,
5/8/2009,60.09,5408200,0.134,0.0536,-0.0061,0.01076,
5/11/2009,59.110001,3896100,0.134,-0.0354,-0.0343,0.01096,
5/12/2009,59.529999,4082800,0.134,-0.0118,-0.0114,0.01099,
5/13/2009,56.939999,5679600,0.134,-0.0472,-0.0324,0.01128,
5/14/2009,57.939999,4640800,0.134,0.02725,0.04606,0.01118,
5/15/2009,57.919998,4747300,0.134,-0.0169,-0.0142,0.01127,
5/18/2009,59.23,4224800,0.134,0.03373,0.01945,0.01096,
5/19/2009,59,4100400,0.134,-0.0047,0.00565,0.01097,
5/20/2009,58.200001,3736900,0.134,-0.008,0.02249,0.01105,
5/21/2009,56.549999,4721600,0.134,-0.0286,-0.0337,0.01121,
5/22/2009,56.07,3773900,0.134,0.00605,0.0128,0.01123,
5/26/2009,57.91,4140000,0.134,0.04209,0.03792,0.01095,
5/27/2009,56.040001,4904100,0.134,-0.0285,-0.0108,0.01115,
5/28/2009,56.549999,3933300,0.134,0.01299,-0.0301,0.011,
5/29/2009,57.099998,3782600,0.134,0.00989,0.03667,0.01081,
6/1/2009,59.290001,6007300,0.134,0.0225,0.06259,0.01055,
6/2/2009,59.959999,4231000,0.134,-0.011,-0.007,0.01054,
6/3/2009,59.5,3927800,0.134,-0.0187,-0.0168,0.01068,
6/4/2009,59.849998,3282200,0.134,0.0234,0.02492,0.01058,
6/5/2009,60.939999,6642100,0.134,0.00786,-0.0032,0.01058,
6/8/2009,60.689999,5144400,0.134,-0.0096,-0.0032,0.01062,
6/9/2009,60.34,4387400,0.134,0.00573,0.03799,0.01057,
6/10/2009,60.459999,4433100,0.134,-0.0153,-0.0019,0.01059,
6/11/2009,60.580002,3627300,0.134,0.00976,-0.0081,0.01055,
6/12/2009,61,3229000,0.134,0,-0.0044,0.01052,
6/15/2009,59.310001,4231600,0.134,-0.0329,-0.0094,0.01076,
6/16/2009,58.41,3791500,0.134,-0.047,-0.0184,0.01091,
6/17/2009,59.040001,3826100,0.134,-0.0132,-0.011,0.01092,
6/18/2009,59.310001,3194500,0.134,0.0185,0.00524,0.01084,
6/19/2009,59.369999,5868100,0.134,0.00232,-0.0039,0.01086,
6/22/2009,57.470001,5272900,0.134,-0.0397,-0.0092,0.0112,
6/23/2009,57.060001,4161200,0.134,-0.0104,0.01121,0.01119,
6/24/2009,57.48,4447700,0.134,0.00974,0.00587,0.0111,
6/25/2009,58.900002,3807900,0.134,0.02611,0.04604,0.01086,
6/26/2009,59.259998,2988600,0.134,-0.0059,0.01488,0.01089,
6/29/2009,59.959999,3194300,0.134,0.01221,-0.0061,0.01079,
6/30/2009,60.099998,6597200,0.134,-0.0008,-0.0129,0.01088,
7/1/2009,60.740002,3839900,0.134,0.01986,-0.0299,0.01083,
7/2/2009,60.25,5582800,0.134,-0.0493,-0.0282,0.01113,
7/6/2009,60.669998,5791600,0.134,0.01928,0.0033,0.01114,
7/7/2009,58.759998,7289400,0.134,-0.0307,-0.054,0.01136,
7/8/2009,59.02,6101500,0.134,-0.011,-0.0104,0.01136,
7/9/2009,59.09,3164200,0.134,0.0037,0.01547,0.01134,
7/10/2009,59.790001,3911400,0.134,-0.0078,0.02216,0.01137,
7/13/2009,60.490002,4041600,0.134,0.00908,0.021,0.0111,
7/14/2009,60.630001,3538200,0.134,0.01309,0.02256,0.01104,
7/15/2009,62,5023100,0.134,0.03391,0.03894,0.01072,
7/16/2009,63.400002,4129000,0.134,0.02382,0.02498,0.01074,
7/17/2009,62.919998,4580700,0.134,0.00305,0.01341,0.01062,
