,Date,close30d,earnings30d,comp130d,comp230d,euro30d
0,3/31/2009,48.86,0.11,0.00,0.00,0.00
1,4/1/2009,48.67,0.11,0.00,0.00,0.00
2,4/2/2009,48.48,0.11,0.00,0.00,0.00
3,4/3/2009,48.32,0.11,0.00,0.00,0.00
4,4/6/2009,48.21,0.11,0.00,0.00,0.00
5,4/7/2009,48.14,0.11,0.00,0.00,0.00
6,4/8/2009,48.10,0.11,0.00,0.00,0.00
7,4/9/2009,48.06,0.11,0.00,0.00,0.00
8,4/13/2009,48.09,0.11,0.00,0.00,0.00
9,4/14/2009,48.14,0.11,0.00,-0.01,0.00
10,4/15/2009,48.26,0.11,0.00,-0.01,0.00
11,4/16/2009,48.41,0.11,0.00,0.00,0.00
12,4/17/2009,48.52,0.11,-0.01,-0.01,0.00
13,4/20/2009,48.69,0.11,0.00,-0.01,0.00
14,4/21/2009,48.81,0.11,0.00,-0.01,0.00
15,4/22/2009,48.99,0.11,0.00,-0.01,0.00
16,4/23/2009,49.13,0.11,0.00,-0.01,0.00
17,4/24/2009,49.22,0.11,0.00,-0.01,0.00
18,4/27/2009,49.31,0.11,0.00,0.00,0.00
19,4/28/2009,49.37,0.11,0.00,0.00,0.00
20,4/29/2009,49.47,0.11,0.00,0.00,0.00
21,4/30/2009,49.67,0.11,0.00,0.00,0.00
22,5/1/2009,49.84,0.11,0.00,0.00,0.00
23,5/4/2009,49.94,0.11,0.00,0.00,0.00
24,5/5/2009,49.98,0.11,0.00,0.00,0.00
25,5/6/2009,49.95,0.11,0.00,0.00,0.00
26,5/7/2009,49.89,0.11,0.00,0.00,0.00
27,5/8/2009,49.84,0.11,0.00,0.00,0.00
28,5/11/2009,49.80,0.11,0.00,0.00,0.00
29,5/12/2009,49.83,0.11,0.00,0.00,0.00
30,5/13/2009,49.94,0.11,0.00,0.00,0.00
31,5/14/2009,50.04,0.11,0.00,0.00,0.00
32,5/15/2009,50.14,0.11,0.00,0.00,0.00
33,5/18/2009,50.17,0.11,0.00,0.00,0.00
34,5/19/2009,50.23,0.11,0.00,0.00,0.00
35,5/20/2009,50.32,0.11,0.00,0.00,0.00
36,5/21/2009,50.41,0.11,0.00,0.00,0.00
37,5/22/2009,50.60,0.11,0.00,0.00,0.00
38,5/26/2009,50.78,0.11,0.00,0.00,0.00
39,5/27/2009,50.95,0.11,0.01,0.00,0.00
40,5/28/2009,51.13,0.11,0.00,0.00,0.00
41,5/29/2009,51.27,0.11,0.00,0.00,0.00
42,6/1/2009,51.48,0.11,0.00,0.00,0.00
43,6/2/2009,51.73,0.11,0.00,0.00,0.00
44,6/3/2009,52.02,0.11,0.00,0.00,0.00
45,6/4/2009,52.24,0.11,0.00,0.00,0.00
46,6/5/2009,52.52,0.11,0.00,0.00,0.00
47,6/8/2009,52.80,0.11,0.00,0.00,0.00
48,6/9/2009,53.00,0.11,0.00,0.00,0.00
49,6/10/2009,53.23,0.11,0.00,0.00,0.00
50,6/11/2009,53.47,0.11,0.00,0.00,0.00
51,6/12/2009,53.76,0.11,0.00,0.00,0.00
52,6/15/2009,54.05,0.11,0.00,0.00,0.00
53,6/16/2009,54.27,0.11,0.00,0.00,0.00
54,6/17/2009,54.40,0.11,0.00,0.00,0.00
55,6/18/2009,54.54,0.11,0.00,0.00,0.00
56,6/19/2009,54.69,0.11,0.00,0.00,0.00
57,6/22/2009,54.85,0.11,0.00,0.00,0.00
58,6/23/2009,54.94,0.11,0.00,0.00,0.00
59,6/24/2009,55.03,0.11,0.00,0.00,0.00
60,6/25/2009,55.13,0.11,0.00,0.00,0.00
61,6/26/2009,55.28,0.11,0.00,0.00,0.00
62,6/29/2009,55.40,0.11,0.00,0.00,0.00
63,6/30/2009,55.53,0.11,0.00,0.00,0.00
