Date,Close,10k Earnings Sentiment,Comp 1,Comp 2,Euro Price Change
2/13/2009,55.549999,0.114,0,0,0
2/17/2009,53.200001,0.114,-0.0217,-0.01,-0.01
2/18/2009,53.299999,0.114,-0.0204,-0.01,-0.02
2/19/2009,53.75,0.114,0.00732,-0.01,-0.01
2/20/2009,51.91,0.114,0.02435,0,0.01
2/23/2009,52,0.114,0.00626,5.00E-04,0.01
2/24/2009,51.25,0.114,0.00415,-0.01,-0.02
2/25/2009,50.66,0.114,0.02436,0.009,-0.01
2/26/2009,48.5,0.114,-0.031,-0.02,-0.01
2/27/2009,48.5,0.114,0.02495,-0.01,0
3/2/2009,45.700001,0.114,0.03571,0,0
3/3/2009,45.5,0.114,-0.0294,-0.01,0.01
3/4/2009,47,0.114,0.05288,-0.01,-0.01
3/5/2009,45.299999,0.114,-0.0247,0.009,-0.02
3/6/2009,45.299999,0.114,-0.068,-0.02,0.01
3/9/2009,45.299999,0.114,0.02299,0.01,0
3/10/2009,46.5,0.114,0.01567,0.018,0
3/11/2009,48.099998,0.114,0.01096,0.018,0.02
3/12/2009,48.349998,0.114,-0.0106,0,0
3/13/2009,48.5,0.114,-0.0128,-0.01,0
3/16/2009,47.349998,0.114,0.03001,0,-0.02
3/17/2009,43.299999,0.114,0.0469,0.015,-0.01
3/18/2009,44.549999,0.114,0.00553,-0.01,0
3/19/2009,46.25,0.114,0.01005,0.003,0.02
3/20/2009,49.849998,0.114,-0.015,0.007,-0.01
3/23/2009,51.75,0.114,-0.0061,0,-0.01
3/24/2009,52.720001,0.114,-0.0247,-0.03,0.01
3/25/2009,52.25,0.114,0.00334,0.011,0
3/26/2009,52.049999,0.114,0.03076,0.008,0
3/27/2009,49.650002,0.114,-0.0036,-0.01,0
3/30/2009,47.549999,0.114,-0.025,-0.02,0
3/31/2009,47.450001,0.114,-0.0049,0,0
4/1/2009,47.450001,0.114,-0.002,0.002,-0.01
4/2/2009,49,0.114,0.00039,-0.02,-0.02
4/3/2009,48.799999,0.114,-0.0276,-0.02,0
4/6/2009,49.900002,0.114,0.00547,0.017,0.01
4/7/2009,49.900002,0.114,0.01813,-0.01,0.02
4/8/2009,49.349998,0.114,-0.0566,-0.03,-0.02
4/9/2009,49.599998,0.114,-0.0346,-0.05,0.02
4/13/2009,49.950001,0.114,-0.0443,-0.04,-0.01
4/14/2009,49.400002,0.114,0.01386,-0.01,0
4/15/2009,49.950001,0.114,0.03564,0.031,0
4/16/2009,50.349998,0.114,-0.0554,-0.03,-0.01
4/17/2009,50.25,0.114,0.01352,0.006,0
4/20/2009,48.880001,0.114,-0.009,-0.03,0.01
4/21/2009,50.799999,0.114,0.04175,0.025,-0.01
4/22/2009,50.799999,0.114,0.00942,0.003,0.01
4/23/2009,50.799999,0.114,0.06053,0.023,0
4/24/2009,50.799999,0.114,-0.0078,0.033,0.01
4/27/2009,50.400002,0.114,-0.019,0.002,0.01
4/28/2009,50.400002,0.114,0.04309,0,0.01
4/29/2009,49.389999,0.114,0.00866,0,0
4/30/2009,49.389999,0.114,0.01119,-0.01,0
5/1/2009,49.389999,0.114,-0.0128,0.032,0
5/4/2009,51,0.114,0.03062,0.03,0.04
5/5/2009,51,0.114,-0.0126,-0.01,0.01
5/6/2009,50.849998,0.114,0.01318,0.003,-0.01
