,Date,close30d,earnings30d,comp130d,comp230d,s&p30d
0,2/18/2009,31.44594027,0.105,-0.009937333,-0.012356,0.011742333
1,2/19/2009,31.31278633,0.105,-0.008524,-0.012303,0.011805
2,2/20/2009,31.12815047,0.105,-0.009222,-0.014046,0.011874667
3,2/23/2009,30.9498704,0.105,-0.009745333,-0.011699333,0.011937667
4,2/24/2009,30.7318666,0.105,-0.011195333,-0.013399333,0.012018333
5,2/25/2009,30.5605779,0.105,-0.006696667,-0.011534,0.012074667
6,2/26/2009,30.38547567,0.105,-0.006776667,-0.011037333,0.012125
7,2/27/2009,30.20052197,0.105,-0.005774333,-0.011314,0.012183
8,3/2/2009,30.03622467,0.105,-0.002464333,-0.010590667,0.012239
9,3/3/2009,29.79247983,0.105,-0.005508667,-0.013059333,0.012314333
10,3/4/2009,29.530621,0.105,-0.005166667,-0.013181333,0.012398
11,3/5/2009,29.33454467,0.105,-0.001287667,-0.009716,0.012449
12,3/6/2009,29.06505887,0.105,-0.005229667,-0.015391,0.012536667
13,3/9/2009,28.7990688,0.105,-0.004288,-0.013384667,0.012617667
14,3/10/2009,28.5136935,0.105,-0.002094667,-0.013011333,0.012706
15,3/11/2009,28.26740633,0.105,0.000133333,-0.01015,0.012769667
16,3/12/2009,28.03700867,0.105,-0.000693333,-0.009732333,0.012834333
17,3/13/2009,27.80247977,0.105,-0.001141667,-0.008906333,0.012894667
18,3/16/2009,27.62006843,0.105,-9.50E-05,-0.007243,0.012938333
19,3/17/2009,27.4373393,0.105,0.001011667,-0.005025667,0.012975333
20,3/18/2009,27.301643,0.105,0.002524333,0.000736667,0.012998
21,3/19/2009,27.19550123,0.105,0.002114333,-0.000278333,0.013017
22,3/20/2009,27.058216,0.105,0.001563333,-0.000371667,0.013039333
23,3/23/2009,26.88120707,0.105,6.67E-05,-0.002895333,0.01308
24,3/24/2009,26.73820163,0.105,0.000628,-0.000819,0.013102
25,3/25/2009,26.59170047,0.105,-0.000195333,-0.000115667,0.013133
26,3/26/2009,26.49572797,0.105,0.000934667,0.000424333,0.013141333
27,3/27/2009,26.43947917,0.105,0.000627,0.001690333,0.013143667
28,3/30/2009,26.35621827,0.105,0.000143667,9.37E-05,0.013152
29,3/31/2009,26.1893786,0.105,-0.001513,-0.002129667,0.013172333
30,4/1/2009,26.08196563,0.105,0.001522,-0.000439,0.013171
31,4/2/2009,26.01904323,0.105,0.001785333,-3.87E-05,0.013160667
32,4/3/2009,26.0298481,0.105,0.003621,0.003873333,0.013134
33,4/6/2009,26.07306753,0.105,0.006598,0.004433667,0.013099
34,4/7/2009,26.1382145,0.105,0.006608,0.006093667,0.013051
35,4/8/2009,26.1553751,0.105,0.003272667,0.004065,0.013029
36,4/9/2009,26.19859453,0.105,0.004647,0.009358667,0.012999333
37,4/13/2009,26.3091854,0.105,0.006042333,0.01253,0.012947
38,4/14/2009,26.4185051,0.105,0.007420667,0.012993333,0.012884333
39,4/15/2009,26.58534473,0.105,0.008914,0.01465,0.012807667
40,4/16/2009,26.77506527,0.105,0.009093667,0.01439,0.012723
41,4/17/2009,26.9698704,0.105,0.007935,0.014534,0.012643667
42,4/20/2009,27.2107551,0.105,0.008988333,0.019152667,0.012542
43,4/21/2009,27.40746703,0.105,0.006956667,0.015506333,0.012458
44,4/22/2009,27.64040703,0.105,0.007932,0.016670667,0.012360667
45,4/23/2009,27.8393435,0.105,0.004978,0.014608667,0.012293
46,4/24/2009,28.0211193,0.105,0.005049333,0.014695,0.012224333
47,4/27/2009,28.15204867,0.105,0.004762667,0.013626,0.012167333
48,4/28/2009,28.2591438,0.105,0.004456,0.012979333,0.012117667
49,4/29/2009,28.33445997,0.105,0.003869333,0.011942,0.012068
50,4/30/2009,28.44060177,0.105,0.005659333,0.013377,0.012023
51,5/1/2009,28.53148963,0.105,0.004554333,0.010706667,0.011987333
52,5/4/2009,28.645894,0.105,0.005112667,0.011415333,0.011944333
53,5/5/2009,28.79112397,0.105,0.006936333,0.014606,0.011876333
54,5/6/2009,28.87819843,0.105,0.003480667,0.012903333,0.011839
55,5/7/2009,29.02247507,0.105,0.005471667,0.013167667,0.011787
56,5/8/2009,29.15467563,0.105,0.005305,0.012937667,0.011744667
57,5/11/2009,29.29132527,0.105,0.006604,0.012305667,0.011702333
58,5/12/2009,29.43083497,0.105,0.006474,0.012115667,0.011659333
59,5/13/2009,29.5992636,0.105,0.008811667,0.014382333,0.011602667
