Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Employee change rate
1/2/2009,33.043789,5360700,0.105,0,0,0,
1/5/2009,32.872181,7326500,0.105,-0.0424,5.90E-04,0.01077,
1/6/2009,34.359436,7553800,0.105,0.01934,0.01439,0.0107,
1/7/2009,32.843578,5969900,0.105,-0.0174,-0.0709,0.01103,
1/8/2009,32.986584,4573200,0.105,-0.0121,-0.0025,0.01098,
1/9/2009,32.548035,5815500,0.105,-7.63E-02,-0.0191,0.01122,
1/12/2009,32.19529,4530000,0.105,-0.0333,-0.0366,0.0115,
1/13/2009,31.823475,5365200,0.105,-0.0293,-0.0139,0.01148,
1/14/2009,30.507824,6359200,0.105,-1.24E-01,-0.0516,0.01185,
1/15/2009,31.108448,7048000,0.105,0.03683,0.00636,1.19E-02,
1/16/2009,31.403992,7480600,0.105,-0.0019,0.00316,0.01176,
1/20/2009,30.059742,7177600,0.105,-0.0598,-0.0511,0.01241,
1/21/2009,30.879639,5696200,0.105,0.07516,0.06935,0.0119,
1/22/2009,30.479223,6970700,0.105,-0.026,-0.0224,0.01208,
1/23/2009,30.708033,5886700,0.105,-0.0711,-0.0145,0.01203,
1/26/2009,31.632801,9147300,0.105,0.03041,0.00358,0.01195,
1/27/2009,32.328762,6855300,0.105,0.04766,0.00499,0.01183,
1/28/2009,33.091457,7124500,0.105,0.06474,0.03621,0.01144,
1/29/2009,31.146582,9499100,0.105,-0.0459,-0.0675,0.01183,
1/30/2009,31.280054,8553600,0.105,-0.0344,-0.0434,0.01207,
2/2/2009,30.345753,7607100,0.105,-0.0075,-0.1106,0.01211,
2/3/2009,30.21228,8801000,0.105,0.03055,0.06606,0.01194,
2/4/2009,30.841505,7933100,0.105,0.01203,-0.0077,0.012,
2/5/2009,31.003576,7574500,0.105,0.0355,0.02571,0.01182,
2/6/2009,31.880676,7895000,0.105,0.06673,0.0394,0.0115,
2/9/2009,31.985548,4863900,0.105,-0.0137,-0.0276,0.01148,
2/10/2009,30.479223,7442900,0.105,-0.0618,-0.0472,0.01203,
2/11/2009,30.688965,5490100,0.105,0.02613,0.00702,0.01196,
2/12/2009,30.383886,7264100,0.105,-0.0145,0,1.20E-02,
2/13/2009,31.518396,8672900,0.105,-0.013,-0.0111,0.01208,
2/17/2009,29.783264,7686000,0.105,-0.0588,-0.0498,0.01262,
2/18/2009,28.877563,7666900,0.105,0,0.00218,0.01265,
2/19/2009,28.82036,8337000,0.105,-0.0016,-0.0379,0.01279,
2/20/2009,27.495176,10526500,0.105,-0.0331,-0.0005,0.01292,
2/23/2009,26.44647,12451000,0.105,-0.0556,-0.0535,0.0134,
2/24/2009,27.409374,11726800,0.105,0.05866,0.03686,0.01291,
2/25/2009,26.942223,8651700,0.105,-0.0357,-0.0217,0.01301,
2/26/2009,26.274864,6964600,0.105,0.00077,-0.0222,0.01322,
2/27/2009,25.578905,9855200,0.105,-0.0247,-0.0299,0.01353,
3/2/2009,23.796103,9507500,0.105,-0.0545,-0.0677,0.01416,
3/3/2009,23.548227,8410000,0.105,0.00836,-0.0005,0.01427,
3/4/2009,24.177452,8012800,0.105,0.05657,0.05286,0.01394,
3/5/2009,22.795065,7701900,0.105,-0.0431,-0.1009,0.01453,
3/6/2009,22.499521,11287100,0.105,0.00225,0.03779,0.01451,
3/9/2009,22.146774,6824300,0.105,-0.0053,-0.0033,0.01468,
3/10/2009,24.244186,11947400,0.105,0.09725,0.08942,0.01386,
3/11/2009,25.416832,11015100,0.105,0.02286,0.01752,0.01377,
3/12/2009,26.05559,8129300,0.105,0.05129,0.06099,0.01325,
3/13/2009,25.674242,6706800,0.105,-0.0145,-0.0176,0.01314,
3/16/2009,25.79818,5592300,0.105,-0.0012,0.02312,0.01318,
3/17/2009,26.274864,4276900,0.105,0.03788,0.06227,0.01279,
3/18/2009,27.028027,8865300,0.105,0.01825,0.03561,0.01251,
3/19/2009,26.722948,5798600,0.105,-0.0045,-0.0105,0.01267,
3/20/2009,25.693308,9277200,0.105,-0.0094,-0.05,0.01304,
3/23/2009,27.590513,5486300,0.105,0.08357,0.10169,0.01216,
3/24/2009,27.590513,6068300,0.105,-0.0384,-0.0065,0.01241,
3/25/2009,27.600048,8955200,0.105,-0.0279,-0.031,0.01228,
3/26/2009,29.001501,6968300,0.105,1.69E-02,0.045,0.01203,
3/27/2009,27.886059,6296400,0.105,-0.029,-0.0479,0.01225,
3/30/2009,26.513206,7763300,0.105,-0.0627,-0.0778,0.01269,
3/31/2009,26.560875,7159800,0.105,0.03225,0.00092,0.01258,
4/1/2009,26.989891,7936900,0.105,0.0079,0.01419,0.01234,
4/2/2009,29.144506,10714200,0.105,0.05347,0.07946,0.01199,
4/3/2009,28.791759,6619400,0.105,0.05621,0.01631,0.01187,
4/6/2009,28.400879,8457700,0.105,-5.53E-02,-0.0037,0.01196,
4/7/2009,27.924192,7575300,0.105,-0.0414,-0.024,0.01225,
4/8/2009,28.238806,4900700,0.105,0.00553,0.13711,0.01212,
4/9/2009,29.59259,6723200,0.105,0.04263,0.07294,0.01165,
4/13/2009,28.858496,6964700,0.105,0.01665,-0.016,0.01165,
4/14/2009,28.801292,4744600,0.105,-0.0097,-0.018,0.01186,
4/15/2009,29.239843,8441900,0.105,0.01375,-0.0083,0.01173,
4/16/2009,30.021606,5244200,0.105,0.02181,0.05718,0.01156,
4/17/2009,30.021606,8031000,0.105,-0.0115,0.03766,0.01148,
4/20/2009,28.400879,6556600,0.105,-0.0587,-0.0716,0.01199,
4/21/2009,29.134974,6445800,0.105,0.02396,0.03163,0.01176,
4/22/2009,30.21228,9581200,0.105,0.00863,0.02756,0.01183,
4/23/2009,30.870106,8328100,0.105,0.025,0.02011,0.01171,
4/24/2009,29.983471,17849600,0.105,0.04269,0.02892,0.01154,
4/27/2009,28.887096,12959800,0.105,-0.0237,-0.037,0.01165,
4/28/2009,28.057665,8402200,0.105,-0.0188,-0.008,0.01169,
4/29/2009,29.459118,7256900,0.105,0.09158,0.10532,0.01144,
4/30/2009,29.754663,8332500,0.105,-0.0149,-0.0445,0.01144,
5/1/2009,30.155079,5588000,0.105,0.01225,0.01076,0.01138,
5/4/2009,30.050207,11734400,0.105,0.04531,0.04572,0.011,
5/5/2009,30.202747,7092100,0.105,-0.0201,0.05061,0.01104,
5/6/2009,31.918812,12516100,0.105,0.02133,0.00143,0.01085,
5/7/2009,31.566065,10898700,0.105,-0.0329,-0.0379,0.01101,
