Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
7/31/2014,23,56483900,0.148,0,0,0.00518,
8/1/2014,23,6458900,0.148,-0.0108,-0.0154,0.00519,
8/4/2014,23,3455900,0.148,0.01271,0.00566,0.00516,
8/5/2014,23,4450200,0.148,-0.0116,-0.0144,0.00521,
8/6/2014,22.98,6993400,0.148,-0.0067,0.00386,0.00521,
8/7/2014,22.93,3186900,0.148,-0.0072,-0.0112,0.00523,
8/8/2014,22.950001,2855000,0.148,0.00604,0.01522,0.00517,
8/11/2014,22.93,1767500,0.148,-0.0022,0.004,0.00516,
8/12/2014,23,1549700,0.148,-0.0022,0.00464,0.00517,
8/13/2014,23.18,1659100,0.148,0.00422,0.00859,0.00513,
8/14/2014,23.01,1391700,0.148,0.0078,-0.0046,0.00511,
8/15/2014,23,1948100,0.148,-0.0034,-0.0072,0.00511,
8/18/2014,23.17,1073700,0.148,0.00956,0.01143,0.00507,
8/19/2014,24.41,2851800,0.148,0.00335,0.00295,0.00504,
8/20/2014,25.190001,3544500,0.148,-0.0002,0.01437,0.00503,
8/21/2014,25.389999,2358000,0.148,0.00865,0.00515,0.00501,
8/22/2014,25.360001,891600,0.148,-0.0021,-0.0066,0.00502,
8/25/2014,25.120001,1185400,0.148,0.00528,0.01016,0.005,
8/26/2014,25.049999,951000,0.148,0.00214,-0.001,0.00499,
8/27/2014,25.469999,1230600,0.148,-0.0043,0.00208,0.00499,
8/28/2014,25.690001,981700,0.148,-0.0037,-0.0051,0.005,
8/29/2014,25.790001,981200,0.148,0.00567,-0.0006,0.00498,
9/2/2014,25.790001,1873200,0.148,0.00253,0.01764,0.00498,
9/3/2014,25.790001,996500,0.148,-0.0004,0.00205,0.00499,
9/4/2014,25.700001,1117500,0.148,0.00039,-0.003,0.00499,
9/5/2014,25.77,1089800,0.148,0.00155,0.00552,0.00497,
9/8/2014,24.84,2534800,0.148,-0.0035,-0.0035,0.00499,
9/9/2014,25.040001,3608600,0.148,-0.0078,-0.0094,0.00502,
9/10/2014,24.700001,1974600,0.148,0.00881,0.00079,0.005,
9/11/2014,24.65,2029100,0.148,0.00136,-0.004,0.00499,
9/12/2014,24.5,1106800,0.148,0.00213,-0.0049,0.00502,
9/15/2014,24.15,1125600,0.148,0.00464,0.00561,0.00503,
9/16/2014,24.309999,1512100,0.148,0.00712,0.01019,0.00499,
9/17/2014,24.549999,940400,0.148,0.00382,0.01955,0.00498,
